sample	tissue	nucl	subject	pool_id	part	side	rpm	rpm_ratio
FC57_AB_1218_RNA	Abdominal	RNA	1218	1			168.69371428571426	0.13066771428571428
FC57_AB_1218_RNA	Abdominal	RNA	1218	2			1673.0828571428572	1.178162857142857
FC57_AB_1218_RNA	Abdominal	RNA	1218	3			1235.0057142857145	0.9646771428571429
FC57_AB_1218_RNA	Abdominal	RNA	1218	4			1339.5428571428572	1.4742542857142855
FC57_AB_1218_RNA	Abdominal	RNA	1218	5			385.02571428571434	0.4308742857142857
FC57_AB_1218_RNA	Abdominal	RNA	1218	6			2053.188571428572	1.7014000000000007
FC57_AB_1218_RNA	Abdominal	RNA	1218	7			1096.2600000000002	1.0329085714285715
FC57_AB_1218_RNA	Abdominal	RNA	1218	8			3140.2314285714288	2.548
FC57_AB_1218_RNA	Abdominal	RNA	1218	9			1048.8114285714287	0.8056800000000002
FC57_AB_1218_RNA	Abdominal	RNA	1218	10			2496.2285714285713	1.6326857142857147
FC57_AB_1218_RNA	Abdominal	RNA	1218	11			1331.6571428571428	0.8952371428571428
FC57_AB_1218_RNA	Abdominal	RNA	1218	12			1276.1200000000001	0.992077142857143
FC57_AB_1218_RNA	Abdominal	RNA	1218	13			197.16114285714292	0.131484
FC57_AB_1218_RNA	Abdominal	RNA	1218	14			764.24	0.8579885714285715
FC57_AB_1218_RNA	Abdominal	RNA	1218	15			977.0199999999999	1.2206514285714287
FC57_AB_1218_RNA	Abdominal	RNA	1218	16			1574.1342857142859	1.2191514285714287
FC57_AB_1218_RNA	Abdominal	RNA	1218	18			61.06657142857144	0.04496514285714285
FC57_BR_1218_RNA	BR	RNA	1218	1			4782.857142857143	3.7211142857142865
FC57_BR_1218_RNA	BR	RNA	1218	2			754.634	0.48710000000000003
FC57_BR_1218_RNA	BR	RNA	1218	3			881.9114285714286	0.6816657142857144
FC57_BR_1218_RNA	BR	RNA	1218	4			946.0685714285714	0.976322857142857
FC57_BR_1218_RNA	BR	RNA	1218	5			666.4854285714287	0.7140780000000001
FC57_BR_1218_RNA	BR	RNA	1218	6			1465.5114285714285	1.1832257142857143
FC57_BR_1218_RNA	BR	RNA	1218	7			352.88885714285715	0.37342742857142863
FC57_BR_1218_RNA	BR	RNA	1218	8			1248.5342857142857	1.0042685714285715
