sample	tissue	nucl	subject	pool_id	side	part	rpm	rpm_ratio
M135_DIA_RNA	DIA	RNA	M135	1			585.1771428571428	0.3963942857142857
M135_DIA_RNA	DIA	RNA	M135	2			1787.4085714285716	1.2338571428571428
M135_DIA_RNA	DIA	RNA	M135	3			1087.782857142857	0.8698971428571429
M135_DIA_RNA	DIA	RNA	M135	4			1358.8028571428572	1.4830285714285718
M135_DIA_RNA	DIA	RNA	M135	5			771.9542857142858	0.8220599999999999
M135_DIA_RNA	DIA	RNA	M135	6			945.7171428571428	0.7711
M135_DIA_RNA	DIA	RNA	M135	7			930.5742857142858	0.94276
M135_DIA_RNA	DIA	RNA	M135	8			2442.865714285714	1.8834
M135_DIA_RNA	DIA	RNA	M135	9			331.27571428571434	0.26751428571428565
M135_DIA_RNA	DIA	RNA	M135	10			2010.9142857142858	1.377114285714286
M135_DIA_RNA	DIA	RNA	M135	11			1945.4942857142858	1.360342857142857
M135_DIA_RNA	DIA	RNA	M135	12			1413.2114285714283	1.2134371428571427
M135_DIA_RNA	DIA	RNA	M135	13			4063.5714285714284	2.766257142857142
M135_DIA_RNA	DIA	RNA	M135	14			803.3942857142858	0.8167599999999999
M135_DIA_RNA	DIA	RNA	M135	15			0.0	0.0
M135_DIA_RNA	DIA	RNA	M135	16			249.74171428571432	0.19804857142857143
M135_DIA_RNA	DIA	RNA	M135	18			181.63400000000001	0.11751828571428573
M135_HRT_1_RNA	HRT	RNA	M135	1		1.0	985.3857142857141	0.6697657142857143
M135_HRT_1_RNA	HRT	RNA	M135	2		1.0	1036.6514285714286	0.7151542857142859
M135_HRT_1_RNA	HRT	RNA	M135	3		1.0	841.6942857142857	0.667822857142857
M135_HRT_1_RNA	HRT	RNA	M135	4		1.0	1275.2714285714283	1.378228571428571
M135_HRT_1_RNA	HRT	RNA	M135	5		1.0	789.7428571428571	0.8375400000000001
M135_HRT_1_RNA	HRT	RNA	M135	6		1.0	1481.6885714285715	1.2075199999999997
M135_HRT_1_RNA	HRT	RNA	M135	7		1.0	1559.3257142857146	1.5710857142857144
M135_HRT_1_RNA	HRT	RNA	M135	8		1.0	2300.851428571428	1.7665999999999995
M135_HRT_1_RNA	HRT	RNA	M135	9		1.0	380.7485714285714	0.30747142857142856
M135_HRT_1_RNA	HRT	RNA	M135	10		1.0	1700.5771428571427	1.1626714285714286
M135_HRT_1_RNA	HRT	RNA	M135	11		1.0	1719.3885714285716	1.1955428571428575
M135_HRT_1_RNA	HRT	RNA	M135	12		1.0	1764.165714285714	1.496771428571428
M135_HRT_1_RNA	HRT	RNA	M135	13		1.0	3415.5714285714284	2.3100857142857145
M135_HRT_1_RNA	HRT	RNA	M135	14		1.0	1016.1628571428571	1.037445714285714
M135_HRT_1_RNA	HRT	RNA	M135	15		1.0	0.0	0.0
M135_HRT_1_RNA	HRT	RNA	M135	16		1.0	383.64457142857134	0.2954428571428571
M135_HRT_1_RNA	HRT	RNA	M135	18		1.0	190.7982857142857	0.12507742857142862
M135_HRT_2_RNA	HRT	RNA	M135	1		2.0	1066.5971428571431	0.7207571428571428
M135_HRT_2_RNA	HRT	RNA	M135	2		2.0	1014.6742857142859	0.69934
M135_HRT_2_RNA	HRT	RNA	M135	3		2.0	809.0914285714283	0.6371142857142856
M135_HRT_2_RNA	HRT	RNA	M135	4		2.0	1254.7428571428572	1.3669142857142862
M135_HRT_2_RNA	HRT	RNA	M135	5		2.0	777.0285714285716	0.8245942857142855
M135_HRT_2_RNA	HRT	RNA	M135	6		2.0	1487.6285714285716	1.2054685714285718
M135_HRT_2_RNA	HRT	RNA	M135	7		2.0	1543.1742857142856	1.5573142857142854
M135_HRT_2_RNA	HRT	RNA	M135	8		2.0	2252.7685714285712	1.7429714285714288
M135_HRT_2_RNA	HRT	RNA	M135	9		2.0	384.33714285714285	0.31442571428571414
M135_HRT_2_RNA	HRT	RNA	M135	10		2.0	1695.1571428571428	1.1535028571428574
M135_HRT_2_RNA	HRT	RNA	M135	11		2.0	1675.6685714285713	1.1672828571428573
M135_HRT_2_RNA	HRT	RNA	M135	12		2.0	1853.1999999999998	1.580142857142857
M135_HRT_2_RNA	HRT	RNA	M135	13		2.0	3444.457142857143	2.342571428571429
M135_HRT_2_RNA	HRT	RNA	M135	14		2.0	1040.0857142857142	1.059411428571429
M135_HRT_2_RNA	HRT	RNA	M135	15		2.0	0.0	0.0
M135_HRT_2_RNA	HRT	RNA	M135	16		2.0	376.5571428571428	0.30084000000000005
M135_HRT_2_RNA	HRT	RNA	M135	18		2.0	196.81342857142852	0.12914142857142855
