gSB118_vL	0.945	9136570	8630834	3769064	2070196	90500
gSB118_L_Diaphragm_DNA	0.921	1399024	1289026	22446	1270942	5548
gSB118_L_Gastroc_DNA	0.918	3507328	3220010	36048	3177186	2087
gSB118_L_Liver_DNA	0.945	2003010	1893655	635059	497043	24954
gSB118_L_Abdominal_DNA	0.895	3564610	3190999	40576	3145142	2816
gSB118_L_Heart_DNA	0.921	3619445	3333119	65506	3285778	20208
gSB118_L_Abdominal_mRNA	0.218	6230310	1359535	17932	1331927	809
gSB118_L_Spleen_DNA	0.934	2445904	2283881	89472	2239226	54726
gSB118_L_Gastroc_mRNA	0.255	6825388	1743645	29990	1698639	667
gSB118_L_Quad_DNA	0.880	3248112	2858157	30543	2819694	1429
gSB118_L_Heart_mRNA	0.258	7133722	1838578	88619	1783074	37664
gSB118_L_Diaphragm_mRNA	0.243	7600724	1848046	16011	1827236	996
gSB118_N_Abdominal_DNA	0.173	1192692	206850	18503	176613	8610
gSB118_L_Triceps_DNA	0.919	2094404	1923966	27338	1896635	3157
gSB118_L_TA_DNA	0.886	3039242	2693065	37042	2654529	3483
gSB118_N_Diaphragm_DNA	0.186	1137629	211617	18474	182837	8733
gSB118_L_Quad_mRNA	0.248	6636241	1647098	22879	1611128	723
gSB118_L_Spleen_mRNA	0.212	7078951	1499011	21825	1466563	660
gSB118_L_Liver_mRNA	0.228	9350444	2129364	430326	832557	44641
gSB118_L_TA_mRNA	0.256	6638172	1699524	24618	1660992	733
gSB118_N_Gastroc_DNA	0.186	3876184	722858	21729	705460	5431
gSB118_L_Triceps_mRNA	0.238	7261300	1724829	19101	1696933	1134
gSB118_N_Abdominal_mRNA	0.200	5921552	1183507	15545	1164442	663
gSB118_N_Heart_DNA	0.196	2740639	536390	57052	406461	24231
gSB118_N_Liver_DNA	0.179	3005387	536602	325203	43913	2897
gSB118_N_Diaphragm_mRNA	0.282	7323160	2063327	29051	2028514	1101
gSB118_N_Spleen_DNA	0.164	1147120	188055	25875	109277	7588
gSB118_N_Quad_DNA	0.183	3298661	604004	17500	589622	3967
gSB118_N_Gastroc_mRNA	0.331	7696386	2551311	60840	2467728	931
gSB118_N_Triceps_DNA	0.179	1248347	223444	12916	209601	5850
gSB118_N_TA_DNA	0.184	3137120	577621	28902	559417	14386
gSB118_N_Heart_mRNA	0.344	7018744	2415436	112483	2332546	31639
gSB118_N_Quad_mRNA	0.329	7105189	2335890	42394	2273576	1003
gSB118_N_Spleen_mRNA	0.257	6056280	1554136	25471	1521956	796
gSB118_N_Liver_mRNA	0.294	8349732	2455460	393861	1249505	68039
gSB118_R_Diaphragm_DNA	0.918	2212795	2031938	34696	2002145	6950
gSB118_R_Abdominal_DNA	0.925	3852834	3563263	54689	3508121	5880
gSB118_N_TA_mRNA	0.333	8313181	2764715	66278	2674614	951
gSB118_N_Triceps_mRNA	0.280	6796229	1904916	27685	1870263	1201
gSB118_R_Gastroc_DNA	0.928	3680582	3417419	46283	3366706	3476
gSB118_R_Heart_DNA	0.919	3524349	3237250	76760	3187804	29517
gSB118_R_Abdominal_mRNA	0.139	6883718	954525	10885	940716	540
gSB118_R_Liver_DNA	0.936	2240154	2096413	561400	666271	32039
gSB118_R_Spleen_DNA	0.925	2436135	2254171	104574	2198493	67205
gSB118_R_Quad_DNA	0.922	3977377	3669096	48157	3613839	3081
gSB118_R_Diaphragm_mRNA	0.277	8794697	2436529	25355	2405495	1267
gSB118_R_Gastroc_mRNA	0.325	8616352	2804365	53716	2725864	1161
gSB118_R_Heart_mRNA	0.338	8844723	2988385	141752	2892305	49220
gSB118_R_Triceps_DNA	0.914	2374937	2170919	34114	2137603	4313
gSB118_R_TA_DNA	0.916	3564956	3267166	50196	3217781	5814
gSB118_R_Spleen_mRNA	0.263	6747372	1777157	26182	1742707	1209
gSB118_R_Liver_mRNA	0.296	8816595	2605514	315259	1777479	92291
gSB118_R_Quad_mRNA	0.320	8139714	2603375	41862	2539614	1202
gSB118_R_TA_mRNA	0.320	7711895	2467994	38427	2411651	1361
gSB118_R_Triceps_mRNA	0.277	7760765	2148725	26847	2112836	1388
gSB118_pL	0.940	9867367	9273735	9101342	58747	37
