sample	subject	tissue	side	part	nucl
M135_DIA_RNA	M135	DIA			RNA
M135_HRT_1_RNA	M135	HRT		1	RNA
M135_HRT_2_RNA	M135	HRT		2	RNA
M135_LIV_1_RNA	M135	LIV		1	RNA
M135_LIV_2_RNA	M135	LIV		2	RNA
M135_LIV_3_RNA	M135	LIV		3	RNA
M135_LIV_4_RNA	M135	LIV		4	RNA
M135_L_AB_RNA	M135	AB	L		RNA
M135_L_BIC_RNA	M135	BIC	L		RNA
M135_L_GA_RNA	M135	GA	L		RNA
M135_L_HAM_1_RNA	M135	HAM	L	1	RNA
M135_L_HAM_2_RNA	M135	HAM	L	2	RNA
M135_L_PM_RNA	M135	PM	L		RNA
M135_L_QUA_RNA	M135	QUA	L		RNA
M135_L_TA_RNA	M135	TA	L		RNA
M135_L_TRI_1_RNA	M135	TRI	L	1	RNA
M135_L_TRI_2_RNA	M135	TRI	L	2	RNA
M135_R_AB_RNA	M135	AB	R		RNA
M135_R_BIC_1_RNA	M135	BIC	R	1	RNA
M135_R_BIC_2_RNA	M135	BIC	R	2	RNA
M135_R_GA_1_RNA	M135	GA	R	1	RNA
M135_R_GA_2_RNA	M135	GA	R	2	RNA
M135_R_HAM_1_RNA	M135	HAM	R	1	RNA
M135_R_HAM_2_RNA	M135	HAM	R	2	RNA
M135_R_PM_1_RNA	M135	PM	R	1	RNA
M135_R_PM_2_RNA	M135	PM	R	2	RNA
M135_R_QUA_1_RNA	M135	QUA	R	1	RNA
M135_R_QUA_2_RNA	M135	QUA	R	2	RNA
M135_R_QUA_3_RNA	M135	QUA	R	3	RNA
M135_R_TA_RNA	M135	TA	R		RNA
M135_R_TRI_1_RNA	M135	TRI	R	1	RNA
M135_R_TRI_2_RNA	M135	TRI	R	2	RNA
M148_DIA_RNA	M148	DIA			RNA
M148_HRT_1_RNA	M148	HRT		1	RNA
M148_HRT_2_RNA	M148	HRT		2	RNA
M148_LIV_1_RNA	M148	LIV		1	RNA
M148_LIV_2_RNA	M148	LIV		2	RNA
M148_LIV_3_RNA	M148	LIV		3	RNA
M148_LIV_4_RNA	M148	LIV		4	RNA
M148_L_AB_RNA	M148	AB	L		RNA
M148_L_BIC_1_RNA	M148	BIC	L	1	RNA
M148_L_BIC_2_RNA	M148	BIC	L	2	RNA
M148_L_GA_1_RNA	M148	GA	L	1	RNA
M148_L_GA_2_RNA	M148	GA	L	2	RNA
M148_L_HAM_RNA	M148	HAM	L		RNA
M148_L_PM_RNA	M148	PM	L		RNA
M148_L_QUA_1_RNA	M148	QUA	L	1	RNA
M148_L_QUA_2_RNA	M148	QUA	L	2	RNA
M148_L_TA_RNA	M148	TA	L		RNA
M148_L_TRI_1_RNA	M148	TRI	L	1	RNA
M148_R_AB_RNA	M148	AB	R		RNA
M148_R_BIC_1_RNA	M148	BIC	R	1	RNA
M148_R_BIC_2_RNA	M148	BIC	R	2	RNA
M148_R_GA_1_RNA	M148	GA	R	1	RNA
M148_R_GA_2_RNA	M148	GA	R	2	RNA
M148_R_HAM_1_RNA	M148	HAM	R	1	RNA
M148_R_HAM_2_RNA	M148	HAM	R	2	RNA
M148_R_PM_1_RNA	M148	PM	R	1	RNA
M148_R_PM_2_RNA	M148	PM	R	2	RNA
M148_R_QUA_1_RNA	M148	QUA	R	1	RNA
M148_R_QUA_2_RNA	M148	QUA	R	2	RNA
M148_R_QUA_3_RNA	M148	QUA	R	3	RNA
M148_R_TA_RNA	M148	TA	R		RNA
M148_R_TRI_1_RNA	M148	TRI	R	1	RNA
M148_R_TRI_2_RNA	M148	TRI	R	2	RNA
Muscle_hFXN_vL					
