sample	tissue	nucl	subject	pool_id	rpm	rpm_ratio
M135_GON_RNA	GON	RNA	M135	1	698.474	0.48892
M135_GON_RNA	GON	RNA	M135	2	2401.02	1.8944000000000005
M135_GON_RNA	GON	RNA	M135	3	1915.557142857143	1.4978457142857144
M135_GON_RNA	GON	RNA	M135	4	1594.7314285714283	1.7534371428571431
M135_GON_RNA	GON	RNA	M135	5	917.2685714285716	1.0333628571428572
M135_GON_RNA	GON	RNA	M135	6	1373.2314285714288	1.18478
M135_GON_RNA	GON	RNA	M135	7	361.3417142857143	0.3846114285714286
M135_GON_RNA	GON	RNA	M135	8	1516.202857142857	1.2582342857142856
M135_GON_RNA	GON	RNA	M135	9	1401.537142857143	1.1453914285714288
M135_GON_RNA	GON	RNA	M135	10	2213.2657142857142	1.4882257142857145
M135_GON_RNA	GON	RNA	M135	11	1715.002857142857	1.222557142857143
M135_GON_RNA	GON	RNA	M135	12	1170.4088571428572	0.9603800000000001
M135_GON_RNA	GON	RNA	M135	13	1427.537142857143	1.0980171428571428
M135_GON_RNA	GON	RNA	M135	14	744.51	0.7301508571428573
M135_GON_RNA	GON	RNA	M135	15	0.0	0.0
M135_GON_RNA	GON	RNA	M135	16	790.5314285714286	0.6279257142857144
M135_GON_RNA	GON	RNA	M135	18	269.76228571428567	0.18361514285714287
M135_GON_RNA	GON	RNA	M148	1		
M135_GON_RNA	GON	RNA	M148	2		
M135_GON_RNA	GON	RNA	M148	3		
M135_GON_RNA	GON	RNA	M148	4		
M135_GON_RNA	GON	RNA	M148	5		
M135_GON_RNA	GON	RNA	M148	6		
M135_GON_RNA	GON	RNA	M148	7		
M135_GON_RNA	GON	RNA	M148	8		
M135_GON_RNA	GON	RNA	M148	9		
M135_GON_RNA	GON	RNA	M148	10		
M135_GON_RNA	GON	RNA	M148	11		
M135_GON_RNA	GON	RNA	M148	12		
M135_GON_RNA	GON	RNA	M148	13		
M135_GON_RNA	GON	RNA	M148	14		
M135_GON_RNA	GON	RNA	M148	15		
M135_GON_RNA	GON	RNA	M148	16		
M135_GON_RNA	GON	RNA	M148	18		
M135_GON_RNA	GON	RNA	M355	1		
M135_GON_RNA	GON	RNA	M355	2		
