sample	subject	tissue	side	nucl	sex	type
FC57_AB_1218_RNA	1218	AB		RNA	F	C57
FC57_BR_1218_RNA	1218	BR		RNA	F	C57
FC57_BR_L_RNA	0122	BR	L	RNA	F	C57
FC57_BR_R_RNA	0122	BR	R	RNA	F	C57
FC57_DIA_1218_RNA	1218	DIA		RNA	F	C57
FC57_GA_1218_RNA	1218	GA		RNA	F	C57
FC57_HRT_1218_RNA	1218	HRT		RNA	F	C57
FC57_KID_1218_RNA	1218	KID		RNA	F	C57
FC57_KID_L_RNA	0122	KID	L	RNA	F	C57
FC57_KID_R_RNA	0122	KID	R	RNA	F	C57
FC57_LIV_1218_RNA	1218	LIV		RNA	F	C57
FC57_LU_1218_RNA	1218	LU		RNA	F	C57
FC57_LU_L_RNA	0122	LU	L	RNA	F	C57
FC57_LU_R_RNA	0122	LU	R	RNA	F	C57
FC57_QU_1218_RNA	1218	QUA		RNA	F	C57
FC57_SPL_1218_RNA	1218	SPL		RNA	F	C57
FC57_SPL_L_RNA	0122	SPL	L	RNA	F	C57
FC57_SPL_R_RNA	0122	SPL	R	RNA	F	C57
FC57_TA_1218_RNA	1218	TA		RNA	F	C57
FC57_TRI_1218_RNA	1218	TRI		RNA	F	C57
hFXN_Muscle_vL						
MC57_AB_1218_RNA	1218	AB		RNA	M	C57
MC57_BR_1218_RNA	1218	BR		RNA	M	C57
MC57_BR_L_RNA	0122	BR	L	RNA	M	C57
MC57_DIA_1218_RNA	1218	DIA		RNA	M	C57
MC57_GA_1218_RNA	1218	GA		RNA	M	C57
MC57_HRT_1218_RNA	1218	HRT		RNA	M	C57
MC57_KID_1218_RNA	1218	KID		RNA	M	C57
MC57_KID_L_RNA	0122	KID	L	RNA	M	C57
MC57_LIV_1218_RNA	1218	LIV		RNA	M	C57
MC57_LU_1218_RNA	1218	LU		RNA	M	C57
MC57_LU_L_RNA	0122	LU	L	RNA	M	C57
MC57_QU_1218_RNA	1218	QUA		RNA	M	C57
MC57_SPL_1218_RNA	1218	SPL		RNA	M	C57
MC57_SPL_L_RNA	0122	SPL	L	RNA	M	C57
MC57_SPL_R_RNA	0122	SPL	R	RNA	M	C57
MC57_TA_1218_RNA	1218	TA		RNA	M	C57
MC57_TRI_1218_RNA	1218	TRI		RNA	M	C57
